===============================================================================
  MT PARAMETERS
 STREAMID= 0
   PERIOD= 2^19937 - 1
       NN=     624 MM=     397 WW= 32 RR= 31
     AVEC= 0x9908B0DF WMASK= 0xFFFFFFFF UMASK= 0x80000000 LMASK= 0x7FFFFFFF
      MAG= 0x00000000 0x9908B0DF
    SHFT0= 11 SHFT1= 18 SHFTB=  7 SHFTC= 15  MASKB= 0x9D2C5680 MASKC= 0xEFC60000
  POINTER= 624
===============================================================================
@ int32
@ 3FA23623 1067595299
@ 38FA935F  955945823
@ 1C72DC38  477289528
@ F4CF2F5F 4107218783
@ FC110F5C 4228976476
@ C75677AA 3344332714
@ C802152F 3355579695
@  D9155DA  227628506
@ 304AACD1  810200273
@ 9A73F337 2591290167
@ 989A7A43 2560260675
@ C1483A50 3242736208
@ 268C922D  646746669
@ 582FA6BA 1479517882
@ FD0CC411 4245472273
@ 44267B5E 1143372638
@ E64AEEDE 3863670494
@ BFFCE512 3221021970
@ 69B7263D 1773610557
@ 43DF2416 1138697238
@ 54C06FE4 1421897700
@ 4BB1636F 1269916527
@ AA772159 2859934041
@ 692B9302 1764463362
@ E6F6290F 3874892047
@ EC59FAF1 3965319921
@  453050B   72549643
@ 8E18C8C2 2383988930
@ 9AFC3045 2600218693
@ C0F8369C 3237492380
@ A6784B64 2792901476
@ 2B3BACA5  725331109
@ 241C69B2  605841842
@ 102B153E  271258942
@ 2AA0204A  715137098
@ C4937AB0 3297999536
@ 4EDADA28 1322965544
@ FC1A4165 4229579109
@ 5327669E 1395091102
@ DEAA3938 3735697720
@ 7D45D251 2101727825
@ DE57AC80 3730287744
@ AFDC0E1A 2950434330
@ 630EEA2F 1661921839
@ AC9709BE 2895579582
@ 8D4B2277 2370511479
@ 3BD93ACA 1004092106
@ 85EFF969 2247096681
@ 7DD7008B 2111242379
@ C0F5F7EF 3237345263
@ F354DBB7 4082424759
@  D19A749  219785033
@ 9245AD51 2454039889
@ DD1BBE7B 3709582971
@ 31CE56CA  835606218
@ 8FC36F3B 2411949883
@ A307EAA6 2735205030
@ 2D16123C  756421180
@ 81A710E8 2175209704
@ 6FB0ECE0 1873865952
@ A4A8ED5D 2762534237
@ F81025EE 4161807854
@ C7BDB7CC 3351099340
@  ACBD297  181129879
@ C2E69738 3269891896
@ 2E414667  776029799
@ 8436773B 2218161979
@ B2EB0184 3001745796
@ 6F458090 1866825872
@ 7F2C9350 2133627728
@  213F68E   34862734
@ 470B7A6D 1191934573
@ B8E983BA 3102311354
@ ADD68783 2916517763
@ 3C580A4A 1012402762
@ 8239E155 2184831317
@ FDC2C299 4257399449
@ ACD2D0B2 2899497138
@ E39381D6 3818095062
@ B4A5AD7E 3030756734
@ 4C6C3BDD 1282161629
@ 1908BF3A  420003642
@ 8AAA5FE5 2326421477
@ A3674B65 2741455717
@ 4C2D0C3F 1278020671
@ DF2BA5A5 3744179621
@ 1032FCF8  271777016
@ 9C8A9DA2 2626330018
@ 989F1B17 2560563991
@ B62684E4 3055977700
@ FC56810E 4233527566
@ 4937DC5D 1228397661
@ D6502FBA 3595579322
@ 403FAD7E 1077915006
@ 8ECF04FA 2395931898
@ 6E622AF6 1851927286
@ B3A12932 3013683506
@ 7735265B 1999971931
@ B3397C02 3006888962
@ 3E92651E 1049781534
@ 58BCA8AF 1488758959
@ D02046E6 3491776230
@  6394B11  104418065
@ 91ED9821 2448267297
@ B75225A3 3075614115
@ E6CF1B38 3872332600
@ 35297FFE  891912190
@ EAA2F3AF 3936547759
@ 8740F423 2269180963
@ 9CF755EC 2633455084
@ 3E71AB47 1047636807
@ 9B3F3B19 2604612377
@ A17CB981 2709305729
@ 745C768B 1952216715
@  C5FA06C  207593580
@ A9DDFE32 2849898034
@ 27FB2A2D  670771757
@ 83C11CC4 2210471108
@ 1BE0B4BD  467711165
@  FADC6D9  263046873
@ D4C4CF4B 3569667915
@ 3E2019A7 1042291111
@ E6489797 3863517079
@ 5746FCB5 1464270005
@ A468A4C8 2758321352
@ E1F303C8 3790799816
@ 892ABA04 2301278724
@ B92617D6 3106281430
@   79AF91    7974801
@ A6719544 2792461636
@ 2123C124  555991332
@ 250F6867  621766759
@ 4ED30865 1322453093
@ 32E1592C  853629228
@ 28F2364B  686962251
@ 56BB6094 1455120532
@ 39162749  957753161
@ 6B68D894 1802033300
@ 3CE35FEE 1021534190
@ CFC8DC4F 3486047311
@ 71602F12 1902128914
@ DC9AE288 3701138056
@ F8EF2ED7 4176424663
@ 6B06D07A 1795608698
@ 216E06F0  560858864
@ DEC994B2 3737752754
@ BB3A7736 3141170998
@ 5C9957E9 1553553385
@ C8BCA92A 3367807274
@ 2A6955F6  711546358
@ 93876AFF 2475125503
@  FAC9A03  262969859
@  EFC4F05  251416325
@ B1A05DC2 2980076994
@ 6BAE0207 1806565895
@ 39C9D223  969527843
@ D25D4245 3529327173
@ A3194800 2736343040
@ B20D013E 2987196734
@ 6249FE2F 1649016367
@ 837F9243 2206175811
@ B5AF74D1 3048174801
@ DA4D5E81 3662503553
@ BB17131C 3138851612
@ 9E8E92BC 2660143804
@ 631FA28C 1663017612
@ 6C4862DF 1816683231
@ 188D56E3  411916003
@ E7B5F3C2 3887461314
@ 8BE50CEF 2347044079
@ 3C846D8B 1015311755
@ 47BD5CF0 1203592432
@ 816608B6 2170947766
@ 99263FAC 2569420716
@ 3082B3DD  813872093
@ 41E2E09E 1105387678
@ 554D804B 1431142475
@  D25A3B7  220570551
@ FCF0B24B 4243632715
@ F91F82AF 4179591855
@ 9B6AD24B 2607469131
@ B83703F9 3090613241
@ 10D431AB  282341803
@ 675E6DC2 1734241730
@ 52F58561 1391822177
@ 3BADEF9A 1001254810
@ 31592D6B  827927915
@ 70748FC3 1886687171
@ EA8CD203 3935097347
@ 9CDDE8AA 2631788714
@ E8C41002 3905163266
@  696EC53  110554195
@ 91E8D6BE 2447955646
@ DD90041F 3717202975
@ C4FB23F3 3304793075
@ DEE5FD0F 3739614479
@ B65694AC 3059127468
@ 38DBA6C3  953919171
@ 9A6226C2 2590123714
@ 4380BF2D 1132511021
@ E23C29CF 3795593679
@ A62DF7DD 2788030429
@ 3A8A7F47  982155079
@ CEF7D974 3472349556
@ 3341AE98  859942552
@ 9FCCED1F 2681007391
@ 89117A75 2299624053
@ 2697345B  647443547
@  DEC75A6  233600422
@ 243FEBFB  608168955
@ DBE6AB5D 3689327453
@ 6E41602C 1849778220
@ 5FDED1CE 1608438222
@ EC854A95 3968158357
@ A0839470 2692977776
@ A9FC1F3C 2851872572
@  EB51CB9  246750393
@ D58D7944 3582818628
@ C6767655 3329652309
@ F096123E 4036366910
@ 3C60B5B2 1012970930
@ 38ABC388  950780808
@ EC0546A8 3959768744
@ 974F331D 2538550045
@  B68E0FE  191422718
@ 9E7008A7 2658142375
@ C3496C73 3276369011
@ AE81BA8C 2927737484
@ 499065DB 1234200027
@ 727D51F3 1920815603
@ D2C437C1 3536074689
@ 5B879655 1535612501
@ 822F5CF7 2184142071
@ C3525DAE 3276955054
@ 198A3598  428488088
@ 8DC3AFD0 2378411984
@ F1FB2ACE 4059769550
@ E9470165 3913744741
@ A2D922EE 2732139246
@  3D634C3   64369859
@ DFDAFA3A 3755670074
@ 323CB60D  842839565
@ A8142CC2 2819894466
@ 8FEDAFFD 2414718973
@ 3C344D7E 1010060670
@ 6DA7D412 1839715346
@ 8FAA6DE0 2410311136
@  91B26B9  152774329
@ CFB90648 3485009480
@ F4811A08 4102101512
@ AA091E50 2852724304
@ 3472E158  879944024
@ 6A650E2E 1785007662
@ A3CF7E2F 2748284463
@ 50C01EC0 1354768064
@ C2C67020 3267784736
@ 87402425 2269127717
@ B2E34CB9 3001240761
@ BD87D91B 3179796763
@ 3563A6D3  895723219
@ 339CF74E  865924942
@ FFCC2CF9 4291570937
@  5537400   89355264
@ 57AE171B 1471026971
@ F5396A89 4114180745
@ BED9B927 3201939751
@ AAEA3A07 2867476999
@ 92ADD60C 2460866060
@ D6CEC30B 3603874571
@ 85729AB0 2238880432
@ C5326CA8 3308416168
@ 7B83F953 2072246611
@ A43FF0CF 2755653839
@ E0EEA920 3773737248
@ 65DE4954 1709066580
@ FF454BCB 4282731467
@ A3AF3B3A 2746170170
@ A8D5900A 2832568330
@ 19D5C121  433439009
@ BD4A89AC 3175778732
@  19084AE   26248366
@ 98130311 2551382801
@  AEBA10A  183214346
@ E80FA57C 3893339516
@ 72ED83FD 1928168445
@ 4FB367F3 1337157619
@ CC63DC6A 3429096554
@ C3372454 3275170900
@ 6A37E254 1782047316
@ FE2DA32C 4264403756
@ 6FDA8EE3 1876594403
@ FFAF02B4 4289659572
@ C027D10E 3223834894
@ 6709F3E9 1728705513
@ F27C7CFE 4068244734
@ AAEFC51F 2867840287
@ 446A04A8 1147798696
@ 120D944C  302879820
@ 6723ED43 1730407747
@ 72AB3B17 1923824407
@ 465E7E94 1180597908
@ 5D910B0F 1569786639
@  BD96427  198796327
@ 216D0655  560793173
@ 7D9B8AD4 2107345620
@ A14A22AC 2705990316
@ CD90160A 3448772106
@ DB3F890B 3678374155
@ 2D37DCC3  758635715
@ 34B8C67F  884524671
@ 1CFD3624  486356516
@ 69CA4CC3 1774865603
@ E756CFF2 3881226226
@ 9D122B27 2635213607
@ 46667C33 1181121587
@ 59EE9C5C 1508809820
@ BD7B82D1 3178988241
@ 5F0576E1 1594193633
@ 499EF4C9 1235154121
@ 1370277C  326117244
@ 8954BAC1 2304031425
@ 37DA5236  937054774
@ A02EB689 2687415945
@ BE47FEDC 3192389340
@ 776EA717 2003740439
@ 6CB476AC 1823766188
@ A47B4A6A 2759543402
@   999EFE   10067710
@ 5B639436 1533252662
@ F650DE88 4132494984
@  4E8FD98   82378136
@ 191216D2  420615890
@ CEAED09B 3467563163
@ 204794EB  541562091
@ D2C25028 3535949864
@ 87BD221D 2277319197
@ C68852C5 3330822853
@ BFAAFD1E 3215654174
@ F534182B 4113831979
@ FAA3297F 4204996991
@ 80E14A8D 2162248333
@ C204C912 3255093522
@ 84449C0D 2219088909
@ B184EE7D 2978279037
@  F3F7B53  255818579
@ AA6E3294 2859348628
@ B89CBF37 3097280311
@ 992AD523 2569721123
@ 6EFB1E90 1861951120
@ AD46858F 2907080079
@ A217C69E 2719467166
@ 3B8123F6  998319094
@ 9651AD17 2521935127
@ 8F4C0A9A 2404125338
@  F76FC20  259456032
@ 7C62F8C3 2086860995
@ 6DA9DC30 1839848496
@ 70DD3D5D 1893547357
@ 96AE2E55 2527997525
@ 58C655E4 1489393124
@ AA853035 2860855349
@  48E81EA   76448234
@ 87002693 2264934035
@ 2C667E97  744914583
@ 9A2F4D5B 2586791259
@ 52933A95 1385380501
@  3F72A82   66529922
@ 6C6D501A 1819103258
@ 713505EC 1899300332
